date,open,high,low,close
2023-02-12 15:00:00,21928.0,21970.0,21893.0,21948.0
2023-02-12 16:00:00,21947.0,22086.0,21934.0,22013.0
2023-02-12 17:00:00,22018.0,22053.0,21973.0,21986.0
2023-02-12 18:00:00,21997.0,21998.0,21956.0,21977.0
2023-02-12 19:00:00,21982.0,22031.0,21934.0,22005.0
2023-02-12 20:00:00,22004.0,22030.0,21957.0,21970.0
2023-02-12 21:00:00,21971.0,21980.0,21712.0,21741.0
2023-02-12 22:00:00,21742.0,21826.0,21649.0,21800.0
2023-02-12 23:00:00,21804.0,21827.0,21729.0,21789.0
2023-02-13 00:00:00,21790.0,21805.0,21782.0,21805.0
